fare_amount,passenger_count,distance_m,pickup_time
7.3,1,1787,19
6.1,5,1763,17
5.3,2,1260,14
6.9,1,1976,10
6.5,5,1145,23
3.3,1,732,07
36.8,1,9016,12
8.5,1,3237,15
5.3,1,1393,09
14.5,1,3269,10
13.5,6,3173,09
14.5,1,5482,08
10.0,1,2162,21
3.3,5,488,23
191.8,1,36703,22
12.5,1,2953,00
21.0,1,2665,02
4.5,1,983,18
5.7,1,1352,08
7.7,2,2213,09
6.9,4,1868,09
7.3,3,1543,17
8.5,1,1563,21
18.0,2,4774,10
14.0,1,3414,10
8.9,1,1981,17
27.0,1,8331,00
10.0,2,3026,06
5.5,2,696,20
6.0,1,1347,17
5.0,2,1143,00
2.9,1,397,19
5.3,1,617,21
25.5,1,10740,20
5.7,3,1404,00
16.5,1,4715,17
7.7,3,1745,08
8.1,1,3300,20
9.7,1,3563,08
9.5,2,2106,13
12.0,1,3510,02
49.8,2,19975,01
8.9,3,2977,13
14.5,1,2365,07
7.0,1,1951,11
6.5,1,1518,06
8.1,1,2641,14
6.5,1,2236,18
11.5,3,2342,18
14.5,1,4871,02
7.7,1,3254,07
7.0,1,1854,14
8.5,5,2022,14
7.3,1,2247,08
15.0,1,3834,00
30.0,1,7757,12
8.1,1,2783,22
11.5,1,3508,00
7.0,1,1985,06
5.5,1,1414,10
14.5,1,3770,20
5.0,1,1089,06
17.0,3,5844,00
9.0,5,2170,21
13.7,1,4563,13
5.0,1,1555,11
7.0,2,1925,20
13.3,1,6033,11
28.27,2,10104,09
8.9,1,3478,17
4.5,1,1366,07
10.5,2,2544,21
10.1,4,2837,17
6.1,2,1506,15
8.5,1,2196,05
13.7,1,4097,11
29.47,1,9126,04
9.5,1,2010,23
7.3,1,2972,22
4.5,1,1146,18
5.5,1,1083,16
6.0,1,1156,20
5.7,2,1438,20
8.5,1,2855,19
8.5,1,2206,09
5.7,2,1666,13
12.3,1,2606,17
5.7,3,1686,11
5.3,2,1452,19
9.0,1,2988,17
10.5,1,3969,22
34.5,1,13846,15
6.5,5,2307,21
6.5,1,2292,09
8.0,1,2184,07
12.1,2,2370,10
6.5,1,2751,13
9.5,3,969,11
12.5,1,2337,21
10.5,6,3482,21
8.9,1,2276,19
15.3,1,1831,00
9.5,1,2290,08
8.9,1,2909,13
4.9,1,899,23
11.7,3,1985,15
19.3,1,8078,08
11.3,2,2861,22
23.5,1,6716,15
4.5,1,1140,16
13.0,2,2910,18
6.0,1,1469,13
12.9,1,4006,13
9.3,4,3988,23
10.0,1,2160,19
22.9,1,7761,20
12.1,1,3554,20
16.5,1,6668,21
6.9,1,1367,11
6.9,1,1839,16
8.9,4,1952,13
8.1,2,2132,17
16.5,1,6395,22
9.5,1,2162,10
8.9,1,2781,11
9.7,1,4386,10
18.0,1,5095,20
12.1,5,4208,09
10.0,2,2388,03
9.5,5,1747,08
3.7,1,1096,07
7.7,2,2498,15
9.3,1,2472,15
4.9,2,1100,07
9.7,1,2603,09
23.7,1,9997,02
4.5,2,847,21
4.5,2,1543,21
3.7,1,1023,12
10.1,2,4372,23
5.7,4,1175,18
6.9,1,1436,00
57.33,5,19967,18
7.0,1,2507,08
5.5,1,648,01
14.9,1,1453,09
4.5,1,684,22
13.5,2,3002,03
6.1,1,2128,05
10.1,1,2858,01
15.3,1,6403,16
21.5,1,5547,12
4.1,1,795,09
15.0,5,3626,11
17.0,1,7878,02
12.5,6,4715,21
10.0,1,1631,10
7.7,1,2506,12
9.0,2,3601,18
3.3,2,617,16
12.9,1,4161,11
8.5,1,2316,19
11.5,1,2726,10
25.3,1,10607,21
14.9,2,6651,16
9.7,1,4307,20
6.5,1,2887,23
6.5,1,1806,19
8.5,1,2628,15
4.5,2,912,00
14.1,1,4045,18
6.0,5,1251,08
8.1,2,1548,15
3.7,1,446,11
7.5,3,2539,03
13.3,2,5163,19
10.9,3,4791,00
6.1,2,1854,19
6.1,1,1608,03
6.0,1,1257,01
15.8,3,6881,04
5.0,1,708,16
13.0,1,3804,17
6.5,6,1229,13
12.1,1,4795,18
5.3,1,1469,09
6.5,1,1333,14
10.0,5,2738,18
8.9,1,2307,06
35.7,1,15715,21
10.1,1,1732,15
8.1,2,2924,21
12.5,1,6094,22
16.5,4,3865,22
21.0,1,6164,00
8.5,1,2298,20
18.0,1,6843,13
13.0,1,2752,20
21.5,1,6122,08
18.5,1,4457,23
17.0,3,6811,12
9.5,1,2736,15
19.5,1,6568,21
6.5,1,871,16
6.5,2,1466,19
49.57,2,20619,18
12.5,1,5682,22
14.0,1,4797,16
7.5,1,1516,14
4.0,1,1074,01
6.5,1,1374,15
9.3,1,2545,15
4.9,1,1190,23
14.1,5,6823,01
5.3,1,978,22
8.9,1,2296,18
10.1,1,4035,22
13.5,1,2351,13
6.1,1,1092,00
8.1,2,2626,00
3.7,3,515,02
19.0,1,6796,20
13.0,1,3866,13
4.1,2,1102,15
7.0,2,1362,00
11.7,2,4719,00
6.5,1,1224,13
8.1,1,2103,12
8.1,2,2032,11
9.7,2,2918,20
21.0,2,6147,23
15.5,1,1276,08
15.3,1,5550,00
6.1,1,1404,20
4.1,2,560,19
4.5,1,619,12
7.5,1,2446,12
7.0,1,1354,08
14.5,3,5900,21
7.7,1,1574,12
6.0,1,1595,21
3.3,1,614,05
10.5,1,3957,20
5.3,1,1967,21
8.9,5,2343,13
19.5,1,6466,06
6.1,1,2333,00
7.3,2,1856,10
11.5,2,2003,01
13.3,1,2764,12
8.5,1,922,10
3.3,5,542,19
6.5,2,1817,22
7.0,1,1805,22
7.3,1,3088,10
7.7,2,3100,17
23.0,1,4691,18
5.8,1,1228,02
7.5,1,1243,18
9.5,1,880,15
10.9,1,2984,14
19.0,1,6327,07
17.7,2,5648,00
4.5,1,909,10
9.5,1,2682,05
5.3,2,1276,04
49.8,1,19321,14
12.0,1,3135,16
7.5,1,903,11
14.5,1,5007,14
8.5,1,1663,13
6.5,1,1693,08
6.0,2,1501,22
7.7,1,2611,14
19.3,1,3401,17
5.3,1,986,12
11.5,6,3359,11
9.7,1,3794,06
37.8,1,9770,23
4.9,1,923,10
14.1,5,5056,15
4.9,1,1162,09
27.85,1,10643,17
19.5,1,2596,17
3.7,1,774,12
9.7,1,3034,08
6.1,1,2107,12
13.3,1,4936,23
12.5,1,4588,21
6.9,1,1775,23
4.9,1,1544,22
9.7,1,3671,23
5.7,1,1642,18
10.1,1,3080,14
13.7,1,3850,21
11.5,1,3499,19
4.5,3,962,12
40.33,1,7270,15
10.5,1,1689,23
13.7,5,1714,20
6.0,1,1045,13
6.1,2,1846,21
12.5,5,5005,13
4.9,1,1283,01
5.0,1,869,09
19.5,3,5681,13
16.1,1,4937,19
5.7,1,2319,11
24.0,1,5089,12
6.5,1,2259,00
5.5,1,1685,22
34.5,4,9786,18
11.5,2,4230,08
7.5,1,2545,11
16.1,3,7475,18
7.5,1,1815,12
9.4,4,3173,23
2.5,1,321,13
6.5,1,1500,05
12.5,1,3328,18
6.9,1,914,22
7.0,1,1520,21
3.3,1,588,20
12.1,6,5351,21
5.5,1,604,13
4.0,1,553,09
6.5,2,1070,22
8.5,1,4069,00
54.0,2,18333,16
10.5,2,3178,16
22.0,1,7683,20
4.1,1,689,14
17.7,1,3553,09
8.0,2,3099,21
12.5,1,2774,16
57.33,1,19902,22
57.33,1,21941,10
8.1,1,1431,22
9.3,1,3131,20
8.9,1,2058,15
9.0,1,1422,12
10.1,2,4328,00
11.0,5,3013,17
7.0,1,1656,00
5.7,2,1346,18
10.0,1,1944,10
12.5,1,5436,15
16.5,2,5443,10
4.9,1,930,10
14.5,1,6316,14
6.0,1,1526,08
6.9,1,1951,12
6.9,1,1653,18
7.5,1,1470,21
8.1,1,2286,00
11.7,5,3181,08
11.3,1,3030,17
8.6,3,1126,20
5.0,2,409,01
11.0,1,3804,16
6.5,1,1777,17
9.7,1,3398,09
9.0,1,2372,22
16.1,1,6789,04
9.7,1,3718,21
8.0,3,3343,19
10.1,1,2611,22
22.5,2,5008,19
13.7,1,4411,08
17.3,1,7735,15
5.3,1,1906,00
7.7,3,2692,03
9.0,1,3161,14
10.9,1,3680,22
8.5,5,2661,19
5.3,6,1538,23
5.5,1,1450,16
18.0,1,4285,01
5.7,1,1292,08
13.5,1,4911,14
7.3,1,1827,11
4.5,1,490,13
4.0,1,939,12
3.5,1,430,19
12.0,1,3427,12
16.1,1,6864,01
21.5,2,6145,17
6.5,3,1201,02
8.0,1,1380,13
19.3,1,8605,03
4.9,1,1238,20
11.3,1,5303,03
8.0,6,1052,13
10.5,1,2666,09
4.9,1,981,12
9.0,1,2585,21
24.27,1,3046,16
7.7,1,2630,20
14.0,1,4511,20
11.3,1,3813,11
57.33,1,20993,20
11.7,1,3917,11
7.5,1,1634,19
6.9,1,1705,15
17.0,1,6132,20
6.1,3,1774,16
11.0,1,4157,04
15.5,5,2338,13
15.7,2,7264,01
10.0,1,3258,20
15.5,2,2124,18
5.3,1,1368,22
10.1,1,3492,16
6.0,4,1111,00
57.33,1,21335,15
6.1,1,1534,14
7.7,1,2028,12
7.7,4,2399,00
19.0,2,4904,12
21.5,1,6601,11
10.5,1,3018,08
5.7,2,1091,21
5.7,1,1153,19
5.3,5,1869,19
14.5,2,3067,23
5.0,1,1152,10
40.0,1,10411,23
3.7,5,628,10
5.7,1,1009,08
5.5,1,1288,03
8.9,1,2347,10
11.7,1,4732,13
8.9,2,3451,21
6.5,2,1379,07
12.0,6,3537,09
7.7,1,2024,18
8.5,2,935,22
12.9,2,5544,21
8.5,1,2788,08
14.9,1,2123,13
4.9,1,1272,23
13.0,1,1958,18
8.1,2,2172,20
8.9,1,3244,16
56.8,5,21350,14
8.9,1,3435,13
4.5,1,489,01
10.9,2,3698,08
12.5,1,3846,23
8.5,2,2421,21
6.0,1,998,21
8.1,6,2137,10
11.0,1,1352,12
5.7,1,1867,22
4.0,1,417,05
8.0,2,2712,23
30.5,1,12099,22
6.5,1,1900,11
8.9,1,3476,01
6.5,1,1326,18
8.5,4,2757,10
14.1,1,4574,20
13.5,1,4579,21
3.3,2,552,10
22.0,1,9733,23
57.33,1,19522,14
6.0,1,1195,00
49.8,5,19437,17
8.5,1,2289,12
22.9,6,5287,01
17.7,6,7408,20
12.1,3,4754,06
39.0,1,16778,16
4.5,2,1115,09
57.33,1,27473,00
6.5,1,805,21
4.5,1,1291,13
11.5,1,2424,10
6.1,2,2641,20
9.0,1,1981,11
9.3,1,2668,12
7.3,1,1529,10
8.5,2,1881,13
8.5,1,1492,15
9.7,1,2735,13
21.5,1,9585,01
4.5,5,1281,18
39.33,1,10076,14
7.4,2,1410,02
6.1,1,1012,14
9.7,1,4676,23
8.1,1,3784,19
8.5,1,3948,19
8.1,2,1220,08
10.1,1,2384,19
27.0,1,9113,00
7.3,1,2022,01
5.7,1,2037,12
3.3,1,442,08
10.1,2,3111,20
10.5,1,3103,23
10.9,3,3692,20
4.1,1,1021,07
10.0,1,3256,21
8.9,1,2904,19
8.5,1,2240,04
4.9,1,1589,11
14.0,1,3122,18
10.5,1,2962,07
14.5,1,4409,19
8.5,5,1689,19
6.5,1,883,17
10.9,1,2714,15
8.5,2,3532,12
4.5,1,1574,07
6.9,1,1907,09
52.0,3,19961,12
5.7,3,1315,18
4.9,1,1544,18
16.1,5,6610,13
7.7,1,3126,00
6.0,2,1036,16
5.5,1,1368,19
17.3,1,7701,08
13.3,1,4897,10
12.0,1,4182,21
19.3,1,5937,20
57.33,3,19406,13
4.5,3,900,00
17.0,1,5863,04
16.0,1,2503,15
6.5,1,1946,13
9.0,1,2741,12
7.0,5,1010,20
6.5,1,1012,11
12.5,2,2811,19
26.9,2,12649,21
11.3,1,3695,22
9.3,1,1782,17
49.8,4,22529,07
4.9,1,1252,15
6.5,1,1351,09
5.5,1,1232,13
11.5,1,4260,19
35.0,1,13011,22
23.0,1,4437,21
7.3,1,1760,17
9.5,1,1747,08
65.83,1,25689,16
7.3,2,2444,07
29.5,1,11845,13
9.7,2,2692,18
16.5,4,7338,14
10.0,1,4070,08
5.7,1,2349,20
6.5,1,2466,16
7.0,2,1733,00
10.0,1,2139,16
4.9,1,1811,18
7.7,2,1651,22
18.5,1,6027,19
7.0,1,2526,21
10.9,1,4243,14
7.1,1,1879,17
6.5,2,2313,03
8.0,5,1532,03
4.1,1,1136,19
5.7,1,2607,00
6.9,3,811,22
22.9,1,5192,14
6.5,3,1770,16
20.9,3,7114,19
6.5,1,1899,20
10.0,2,2986,09
6.1,1,1544,16
6.1,1,1736,18
3.7,1,812,15
7.5,1,1961,12
7.0,3,1096,22
7.7,1,2040,19
4.1,1,926,17
6.5,2,1951,23
23.0,1,8494,00
6.5,1,1002,19
7.5,3,1718,14
8.5,5,2881,20
3.7,1,833,09
5.3,1,1088,10
7.3,1,2724,19
9.0,1,2051,08
10.0,1,3312,06
6.1,1,1592,19
6.5,1,1460,11
19.7,1,7168,17
5.5,1,871,16
3.7,2,593,13
6.5,2,803,15
9.7,5,3779,21
22.1,1,8563,13
7.3,2,1967,21
4.1,6,566,02
4.5,1,892,22
5.5,1,1588,05
7.3,1,1158,09
9.7,5,3610,08
8.0,3,1734,08
4.5,5,812,07
8.5,5,2959,23
5.0,1,1384,06
9.5,1,1207,14
17.7,1,5646,18
6.9,1,1992,14
27.5,2,13746,02
9.5,5,2131,22
7.7,1,1793,23
5.3,5,1279,14
9.3,1,2869,06
20.0,1,2721,11
8.0,1,1533,06
8.1,3,2313,14
22.1,1,10857,17
6.5,5,1482,09
10.5,2,4356,23
6.1,1,821,22
10.0,1,2301,11
7.7,1,1429,22
8.0,1,2768,20
8.9,2,3525,15
5.5,2,1088,18
8.0,1,3345,17
5.3,1,1758,11
13.3,1,4881,23
41.04,1,10180,15
11.7,1,5555,20
9.3,2,3579,00
6.5,1,1559,13
10.5,1,3262,00
9.0,1,941,17
42.83,1,11355,18
12.1,4,5965,01
8.9,1,3712,19
9.3,2,1208,16
12.5,6,4079,18
14.5,2,6086,10
7.7,1,2046,00
8.5,5,2651,10
8.0,1,1926,03
11.3,1,4302,15
8.5,1,2205,04
9.3,5,2439,15
5.3,1,1138,19
6.1,5,1970,17
13.3,1,4477,22
5.7,1,1263,14
33.04,1,8131,16
8.5,1,2737,01
3.7,1,805,06
4.1,1,786,15
5.0,1,1347,06
28.5,1,10589,01
18.5,2,5703,17
5.3,1,1241,11
4.9,1,1295,17
8.9,1,2180,19
12.0,1,2237,18
31.5,1,13890,01
4.9,1,709,20
10.9,5,2761,15
15.7,2,6656,23
6.0,1,1938,22
7.5,6,1546,15
7.0,1,1486,11
7.3,1,1964,03
18.1,1,6466,13
9.5,1,4032,23
8.0,1,1705,08
14.5,1,5355,10
6.5,1,1311,23
6.9,5,1935,20
12.0,1,3610,14
6.1,1,1248,01
16.0,1,3857,18
9.7,2,1287,00
10.5,1,1916,13
7.7,1,2635,12
10.9,1,3463,18
9.0,1,1979,14
14.5,1,4333,16
9.5,1,3060,18
11.5,1,3296,22
30.27,1,10597,21
38.0,4,9285,15
9.5,5,2370,21
5.7,2,776,17
27.5,3,9035,01
6.0,1,1346,23
10.5,5,1352,15
5.3,1,1316,17
14.5,1,4721,22
6.5,1,2051,22
7.3,1,2296,20
8.1,1,1810,20
9.7,1,2720,19
16.0,1,6285,19
14.0,6,2900,11
4.5,1,1455,20
8.5,1,2418,00
5.0,2,682,15
57.33,3,20942,15
24.0,2,4871,09
13.3,1,5293,09
13.5,2,4099,21
6.9,1,2685,22
8.5,1,2025,12
5.0,1,1102,19
3.7,1,635,07
19.7,1,8403,07
13.0,1,2656,21
15.3,1,6865,16
7.3,1,2022,09
17.0,1,3580,19
5.3,1,1111,09
10.0,6,3214,00
20.0,1,6694,20
24.1,1,11843,13
15.5,1,3958,18
18.5,1,7319,02
6.0,1,1894,07
8.1,1,2049,21
49.8,1,21706,15
9.5,2,2356,17
20.0,6,3846,23
8.0,1,1763,19
12.9,1,3772,14
5.3,2,1017,11
17.5,1,2005,14
4.5,5,1179,10
7.0,2,2063,13
8.1,1,2554,22
8.1,3,1724,18
5.7,3,1710,13
6.1,1,1444,14
14.1,1,6006,13
15.3,5,3647,23
4.5,2,1230,09
14.1,1,6965,21
5.5,1,766,13
10.5,1,4744,10
7.0,1,1604,17
15.5,1,4184,18
11.3,1,5088,21
6.5,1,1359,06
8.5,1,2537,11
33.83,1,10417,07
6.9,2,1105,14
5.7,1,1621,01
8.0,2,1862,09
4.0,1,632,14
27.0,2,7209,13
25.0,3,9359,00
8.1,2,2267,19
6.9,1,1202,15
7.7,1,1702,15
5.3,1,1665,15
7.3,1,2115,00
8.5,1,2163,09
16.5,4,3775,23
6.0,6,769,10
68.1,4,17525,09
11.3,2,2739,23
6.5,1,2299,19
7.0,2,567,19
8.1,3,3511,18
9.0,1,1775,06
7.0,3,1892,03
9.7,1,1882,11
6.5,1,786,19
18.5,1,4980,18
8.1,2,1485,18
7.5,1,2591,02
4.1,1,1165,12
39.5,1,14562,01
30.33,3,8364,19
43.85,5,14365,08
6.5,1,2943,16
6.5,1,2101,06
7.0,2,1562,03
6.5,2,663,09
7.5,6,1267,10
8.5,3,2578,13
9.5,2,1426,07
5.0,1,848,01
6.1,3,1605,13
49.8,2,20815,08
6.5,1,1018,21
4.5,1,998,08
13.5,1,3142,12
10.0,1,1888,12
13.0,1,3199,18
4.5,1,960,00
7.3,1,2148,14
14.9,1,6044,22
4.1,5,612,08
14.5,1,4689,22
7.0,1,1780,02
12.0,1,3230,19
9.0,1,1969,12
6.9,1,1915,18
6.0,5,1048,16
4.0,2,920,19
8.5,1,2720,08
8.9,1,3677,19
10.0,1,2334,07
6.5,1,1743,07
9.5,1,2410,18
10.5,1,1419,09
9.5,1,1359,15
11.5,1,2570,07
5.7,1,933,21
4.1,1,826,17
7.3,1,1060,19
10.5,1,2959,12
8.0,6,1260,10
6.0,5,765,18
30.33,1,10046,22
10.5,1,2036,09
11.3,2,3677,21
4.5,1,657,14
8.1,1,2494,21
11.7,1,4218,16
4.1,1,709,07
9.7,1,866,13
7.3,1,1640,10
7.0,5,1380,06
4.9,1,1465,02
23.7,1,11372,00
26.0,1,5525,14
5.5,5,798,11
14.0,2,4077,02
8.5,1,2905,23
11.5,2,2987,12
7.0,6,657,13
7.7,1,2035,14
4.1,2,912,23
6.0,2,729,13
15.5,1,1324,18
23.0,1,9303,07
6.0,2,1425,11
57.33,2,21093,20
8.9,1,3287,21
6.1,2,2268,01
4.5,1,734,17
4.1,5,1307,22
7.3,1,2408,19
8.0,1,1413,13
8.5,2,2597,16
12.5,1,3530,10
15.5,6,4697,08
5.7,1,1383,17
4.9,1,1158,20
6.9,1,1706,09
9.7,1,2524,14
14.1,1,6877,21
7.5,1,1827,10
9.5,1,2766,23
10.5,1,2702,00
4.0,5,751,22
18.0,1,5907,07
7.7,5,1557,13
5.3,1,1023,10
12.0,6,3265,20
4.5,2,1368,00
6.0,1,1921,14
6.5,1,1545,03
8.1,1,2180,21
4.5,1,1181,05
15.0,1,4287,22
12.0,1,3790,16
4.5,2,830,08
4.5,1,798,07
8.9,2,1559,11
9.0,1,2371,09
5.7,1,1685,20
23.0,5,4812,19
14.0,1,5180,22
4.5,2,438,19
10.1,5,2734,16
7.3,1,2371,07
7.7,1,1386,12
7.5,1,1715,22
7.5,1,1203,12
6.5,1,1078,10
5.5,2,1179,02
10.9,1,3248,08
6.9,2,1043,20
12.1,1,4664,13
18.5,5,6995,14
15.5,2,3607,17
5.3,1,1443,02
8.5,2,1814,16
5.3,1,1174,19
5.3,1,1082,11
7.3,2,3064,06
7.7,1,2360,03
31.5,1,15411,22
5.7,1,1159,12
56.8,1,23202,13
5.7,1,1728,17
11.0,5,1951,09
20.1,1,9232,23
4.5,2,945,23
5.3,1,1450,19
4.0,1,710,08
10.5,1,3859,11
9.5,2,3481,18
42.0,1,14118,10
6.0,1,1542,03
6.5,1,970,19
18.1,1,7092,22
5.5,2,876,17
4.1,1,902,17
9.5,1,1568,17
11.5,2,1792,23
8.5,1,2319,14
7.3,1,1881,10
22.0,1,5985,08
13.7,1,4948,03
11.3,1,5129,23
4.9,1,1315,08
6.5,2,2097,08
5.3,1,922,09
7.7,5,2396,12
16.5,1,4838,00
5.7,1,2307,15
5.0,1,1111,06
4.0,1,797,10
11.5,5,2276,21
6.5,1,2053,00
8.5,1,2895,19
5.0,1,897,17
14.9,1,5628,02
4.1,1,878,23
6.1,1,1068,14
4.0,1,877,10
4.9,1,1158,18
9.5,1,3167,11
6.1,1,1340,22
6.5,1,1734,08
6.0,1,1507,00
14.9,1,4349,08
15.7,1,4392,14
7.7,1,1814,13
6.0,1,1320,09
10.9,1,2759,08
8.5,1,2444,03
6.9,1,2213,10
7.0,2,2031,21
11.5,3,2486,17
7.0,3,1397,10
6.0,1,1163,16
3.3,1,297,17
11.4,2,4971,20
7.0,5,2066,02
3.3,1,510,17
6.1,1,1777,23
24.9,1,6512,15
3.7,1,758,09
10.5,1,2673,12
7.0,2,1246,01
12.0,3,2738,09
4.9,1,943,14
8.0,1,1202,13
4.9,2,724,23
16.0,5,5032,16
8.5,1,1943,19
8.1,1,2257,13
5.3,1,1905,09
7.3,1,2637,13
9.7,1,3872,19
9.3,1,3829,10
6.3,1,613,18
4.5,1,1542,11
11.7,2,3997,23
23.0,1,10513,01
13.7,1,5714,07
15.0,1,3334,18
6.0,1,887,16
12.9,1,2116,17
16.0,1,4016,15
8.5,5,2099,21
10.9,5,3375,02
7.0,1,1914,14
5.7,1,1464,20
8.5,1,2318,20
32.5,1,13717,23
4.1,1,1064,04
36.0,1,13634,21
6.1,1,1778,03
6.1,1,1649,12
7.7,1,1757,08
73.0,1,18692,18
9.3,2,4634,21
3.0,1,356,18
7.5,5,1815,17
8.0,2,1557,20
5.7,1,1343,21
5.3,1,1332,18
3.7,1,346,19
6.1,5,1213,12
10.9,1,3477,19
11.0,2,1454,13
10.0,1,1247,13
5.5,1,1867,07
28.04,1,7687,13
9.7,2,2448,19
6.9,1,2036,07
6.5,1,1119,22
13.5,1,3190,07
5.7,1,1676,03
17.7,1,5175,01
4.0,5,470,19
6.0,1,1177,12
8.9,1,1964,20
6.5,5,1534,13
9.0,1,1307,18
3.3,1,407,09
10.9,1,4781,22
10.5,5,3707,07
16.1,1,4294,09
57.33,1,21928,11
4.5,1,852,23
17.7,1,4202,13
14.5,1,5991,01
28.5,1,11747,23
18.1,1,8921,01
8.9,2,2235,09
12.1,1,5207,22
10.9,1,4977,18
4.5,1,856,13
31.3,1,8266,22
8.5,5,3068,08
5.0,1,1115,14
55.7,2,15244,00
4.5,1,1521,16
17.5,1,4821,08
19.5,1,3410,15
4.0,2,971,07
19.7,1,8228,09
14.5,1,4192,07
4.5,2,663,09
4.0,1,594,10
6.5,1,1360,16
9.3,2,3425,11
9.5,1,4147,21
11.0,2,2644,22
7.3,2,2709,22
8.5,2,2088,09
9.3,3,1636,18
19.5,1,3637,10
7.0,5,1257,18
10.0,1,2817,20
12.1,1,3191,17
4.5,1,902,12
10.5,5,2048,14
12.5,1,5382,04
27.450000000000006,1,7225,14
3.3,1,516,21
6.0,1,1210,20
6.1,1,2379,19
8.5,1,2241,18
8.0,1,1452,14
11.5,2,2347,18
5.0,1,858,08
5.3,2,1089,14
13.5,1,4308,07
9.5,1,2853,17
7.3,1,2370,22
11.0,1,1642,08
5.7,1,1122,20
6.5,1,1318,11
5.5,1,824,21
8.5,2,1969,13
8.1,5,1386,21
9.5,1,2649,02
9.0,1,2123,18
8.5,1,3674,21
8.1,5,2730,21
9.5,1,2048,15
8.5,1,1909,16
7.5,1,1757,20
9.3,1,1887,21
11.7,2,4589,01
21.47,1,6209,12
9.0,1,2007,19
8.1,1,1874,10
9.7,1,2689,16
6.1,2,1237,21
17.7,2,7241,03
4.1,1,813,21
19.3,1,7928,14
5.7,1,1539,19
11.0,2,1499,13
5.3,1,854,13
25.7,1,11154,19
4.5,1,1091,22
14.5,1,5579,21
8.9,1,2199,20
5.7,1,1131,20
3.3,2,613,19
12.0,1,3416,15
22.9,1,5907,10
10.5,1,4340,09
7.7,1,1886,17
4.9,1,1221,15
26.9,1,13413,00
3.7,1,698,14
23.0,4,5297,16
8.5,2,2551,21
13.3,1,5371,23
12.1,2,4553,00
4.9,2,1188,10
6.9,4,2852,10
6.5,1,1452,16
9.3,2,3087,18
9.5,1,2792,18
10.5,1,2499,07
6.9,1,1679,00
17.9,2,5171,16
13.3,1,4315,04
26.0,1,8145,21
4.1,1,756,08
12.5,4,3997,22
6.5,5,1055,09
6.5,1,2242,12
5.7,2,1972,06
9.5,1,2632,09
6.5,1,2994,00
14.5,1,3333,08
3.3,1,854,07
17.7,2,6223,13
8.0,1,2729,22
57.33,1,21518,14
12.1,1,4288,19
6.1,1,1788,10
8.1,3,3036,13
5.5,1,1418,14
12.1,1,3476,08
8.5,1,2560,05
10.0,1,4940,02
8.0,1,2296,01
6.0,1,1169,21
4.5,1,1544,20
38.54,1,9465,08
4.5,1,1349,06
8.0,1,1615,22
10.0,2,4259,04
7.0,1,1024,23
14.5,2,4410,15
4.0,1,696,07
5.7,3,1772,14
12.0,2,2189,08
7.7,5,2220,19
5.5,1,528,09
49.15,2,19987,14
8.0,5,1794,11
30.1,1,8119,15
9.5,1,2084,09
11.7,1,4316,13
15.0,1,3704,16
5.7,1,1692,09
4.5,1,1064,08
6.5,1,1319,06
9.3,1,3016,22
13.5,1,5339,02
10.9,1,3499,21
4.1,1,572,15
5.3,1,768,03
27.5,1,10473,21
5.5,2,1390,18
11.7,1,3475,22
6.1,2,1234,13
5.3,1,1585,12
14.0,2,5262,21
9.7,5,1855,11
10.0,2,2741,19
5.5,1,670,19
13.7,1,5546,01
7.7,1,918,13
9.8,4,4565,22
6.5,1,1876,22
11.0,1,2359,10
6.1,1,1259,10
8.5,5,2518,13
10.0,2,3499,15
4.5,1,1379,08
11.5,2,4584,07
6.9,1,2081,14
8.1,1,3006,08
5.5,4,1310,17
4.0,2,633,11
7.3,2,1036,12
5.5,1,1217,17
17.3,2,7963,23
6.5,1,981,17
9.5,1,2486,17
12.1,1,4987,22
5.3,2,1228,00
4.1,5,533,00
4.9,1,1173,12
5.5,1,1144,13
8.5,1,3297,05
31.3,1,7161,13
4.5,1,914,01
22.5,1,6866,18
10.1,1,4408,16
6.1,5,1283,07
7.5,2,2399,00
5.0,1,859,07
7.0,1,1730,22
4.1,1,1919,19
8.9,2,1922,11
6.1,2,1842,07
11.7,2,5822,21
4.5,5,895,12
9.3,1,2810,10
10.5,1,3707,23
4.5,1,828,08
6.9,1,3106,07
49.8,2,21122,14
7.3,1,2005,07
17.5,2,7049,08
11.7,1,2065,08
6.9,1,1470,09
6.9,2,2024,12
10.1,3,3673,12
4.5,1,806,23
5.3,1,1435,22
5.5,1,872,09
6.0,1,995,01
52.0,1,19448,19
8.9,2,3989,20
12.5,1,2242,09
6.0,1,892,07
5.5,6,692,11
15.5,1,2981,18
9.5,1,3079,14
10.5,1,2494,19
17.3,1,5174,12
5.5,1,1160,12
4.5,1,1379,09
10.5,1,3575,22
6.5,1,1484,12
18.1,5,5627,11
4.9,1,1111,20
8.9,1,2232,15
8.9,3,3005,01
9.0,1,2835,20
7.7,1,1809,21
10.0,1,3980,04
7.3,1,1242,15
23.0,1,4986,02
9.3,1,1566,00
12.5,1,1766,09
8.0,1,1331,12
27.85,1,9274,16
15.5,1,5670,01
7.3,1,2279,06
9.3,2,3195,18
4.9,1,1275,16
5.5,1,1082,09
5.3,1,954,09
20.5,1,9567,11
8.1,5,2112,14
23.0,1,3622,01
6.5,6,1582,00
4.9,1,1812,13
7.0,1,767,12
7.5,1,2335,14
5.3,1,1407,16
5.7,2,1171,16
32.3,2,6877,17
7.7,5,681,14
10.1,1,2704,11
9.3,2,2198,17
